Rk,Players,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
93,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-307,1991,15,13,1116,12.4,0,0,0,0,0,0,2,0,0,0,0.4,0.4,12,35,20,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,0442183b
94,Conor Coady,eng ENG,DF,Everton,29-346,1993,19,19,1700,18.9,1,1,2,1,0,0,1,0,0.6,0.6,0.3,0.9,4,34,1,0.05,0.05,0.11,0.05,0.11,0.03,0.02,0.05,0.03,0.05,Matches,2928dca2
95,Jack Colback,eng ENG,MF,Nott'ham Forest,33-105,1989,8,1,281,3.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,4,8,3,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches,963a9201
96,Séamus Coleman,ie IRL,DF,Everton,34-118,1988,13,10,857,9.5,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,8,26,18,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches,0420d84f
97,Nathan Collins,ie IRL,DF,Wolves,21-282,2001,17,17,1472,16.4,0,0,0,0,0,0,2,1,0,0,0.1,0.1,9,52,3,0,0,0,0,0,0,0,0.01,0,0.01,Matches,a8c19eb8
98,Levi Colwill,eng ENG,DF,Brighton,19-345,2003,7,5,463,5.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,20,1,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,7.01E+12
99,Lewis Cook,eng ENG,MF,Bournemouth,26-003,1997,19,17,1486,16.5,0,2,2,0,0,0,2,0,0.2,0.2,2.2,2.4,9,54,8,0,0.12,0.12,0,0.12,0.01,0.13,0.14,0.01,0.14,Matches,2afc7272
100,Steve Cook,eng ENG,DF,Nott'ham Forest,31-293,1991,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1,19,0,0,0,0,0,0,0.01,0.05,0.07,0.01,0.07,Matches,3e5e4e63
101,Liam Cooper,sct SCO,DF,Leeds United,31-160,1991,13,12,1106,12.3,1,0,1,1,0,0,2,0,1,1,0.5,1.5,1,26,1,0.08,0,0.08,0.08,0.08,0.08,0.04,0.12,0.08,0.12,Matches,dc64b8b3
102,Maxwel Cornet,ci CIV,FW,West Ham,26-132,1996,5,1,91,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,2,2,15,0,0,0,0,0,0.53,0,0.53,0.53,0.53,Matches,beb391dd
103,Diego Costa,es ESP,FW,Wolves,34-122,1988,9,8,612,6.8,0,0,0,0,0,0,2,1,2,2,0.3,2.3,8,4,31,0,0,0,0,0,0.3,0.04,0.34,0.3,0.34,Matches,a190d597
104,Vladimír Coufal,cz CZE,DF,West Ham,30-168,1992,15,13,1201,13.3,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5,34,53,60,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11,Matches,fdf3cb77
105,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-239,1992,18,6,712,7.9,0,0,0,0,0,0,3,0,1.1,1.1,0.5,1.6,17,45,64,0,0,0,0,0,0.14,0.06,0.2,0.14,0.2,Matches,0ef89a37
106,Conor Coventry,ie IRL,MFFW,West Ham,22-318,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a5ca9127
107,Aaron Cresswell,eng ENG,DF,West Ham,33-053,1989,18,17,1533,17,0,0,0,0,0,0,2,0,0.3,0.3,2.5,2.8,27,118,69,0,0,0,0,0,0.02,0.15,0.16,0.02,0.16,Matches,4f974391
108,Marc Cucurella,es ESP,DF,Chelsea,24-199,1998,19,16,1279,14.2,0,2,2,0,0,0,2,0,0.4,0.4,0.4,0.8,20,50,54,0,0.14,0.14,0,0.14,0.03,0.03,0.06,0.03,0.06,Matches,1daec722
109,Matheus Cunha,br BRA,FW,Wolves,23-255,1999,4,2,192,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,3,2,9,0,0,0,0,0,0.15,0.12,0.27,0.15,0.27,Matches,dc62b55d
110,Patson Daka,zm ZAM,FW,Leicester City,24-120,1998,17,9,706,7.8,3,3,6,3,0,0,2,0,2.4,2.4,2.3,4.7,11,11,48,0.38,0.38,0.76,0.38,0.76,0.31,0.3,0.6,0.31,0.6,Matches,ca45605e
111,Diogo Dalot,pt POR,DF,Manchester Utd,23-325,1999,14,13,1187,13.2,0,1,1,0,0,0,5,0,0.8,0.8,1.4,2.1,33,46,47,0,0.08,0.08,0,0.08,0.06,0.1,0.16,0.06,0.16,Matches,d9565625
112,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-218,2000,11,1,285,3.2,0,0,0,0,0,0,2,0,0.5,0.5,0.5,0.9,4,14,12,0,0,0,0,0,0.15,0.14,0.3,0.15,0.3,Matches,215f3907
113,Danilo,br BRA,MF,Nott'ham Forest,21-283,2001,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0.1,0,3,0,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,a816dbfb
114,Josh Dasilva,eng ENG,MF,Brentford,24-106,1998,21,11,979,10.9,3,2,5,3,0,0,1,0,0.9,0.9,1.4,2.3,42,41,37,0.28,0.18,0.46,0.28,0.46,0.09,0.12,0.21,0.09,0.21,Matches,60344e4f
115,Ben Davies,wls WAL,DF,Tottenham,29-288,1993,19,15,1351,15,2,1,3,2,0,0,2,0,0.8,0.8,1.8,2.5,23,76,27,0.13,0.07,0.2,0.13,0.2,0.05,0.12,0.17,0.05,0.17,Matches,44781702
116,Tom Davies,eng ENG,MF,Everton,24-221,1998,10,4,413,4.6,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.7,2,24,7,0,0,0,0,0,0.12,0.03,0.15,0.12,0.15,Matches,9228b07c
117,Craig Dawson,eng ENG,DF,Wolves,32-276,1990,1,1,90,1,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,0,0,0,1,0,1,1,1,0.25,0.03,0.28,0.25,0.28,Matches,3e9e06cb
118,Craig Dawson,eng ENG,DF,West Ham,32-276,1990,8,8,720,8,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,18,1,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches,3e9e06cb
119,Kevin De Bruyne,be BEL,MF,Manchester City,31-223,1991,20,18,1599,17.8,3,11,14,3,0,0,1,0,3.4,3.4,9.2,12.5,71,156,158,0.17,0.62,0.79,0.17,0.79,0.19,0.52,0.71,0.19,0.71,Matches,e46012d4
120,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-152,1996,6,0,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,4,11,0,0,0,0,0,0.15,0.25,0.41,0.15,0.41,Matches,11f54bd5
121,Leander Dendoncker,be BEL,MF,Aston Villa,27-297,1995,12,3,341,3.8,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,10,1,0,0,0,0,0,0.01,0.12,0.13,0.01,0.13,Matches,5a7301ae
122,Leander Dendoncker,be BEL,MF,Wolves,27-297,1995,4,2,214,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,1,6,3,0,0,0,0,0,0.27,0.02,0.29,0.27,0.29,Matches,5a7301ae
123,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,25-083,1997,10,3,373,4.1,1,1,2,1,0,0,2,0,0.7,0.7,0.3,1,9,9,26,0.24,0.24,0.48,0.24,0.48,0.17,0.08,0.25,0.17,0.25,Matches,2c44a35d
124,Halil Dervişoğlu,tr TUR,MF,Brentford,23-060,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches,9d8cf204
125,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-153,1998,19,18,1448,16.1,2,2,4,2,0,0,1,0,1.5,1.5,2.3,3.8,46,88,62,0.12,0.12,0.25,0.12,0.25,0.09,0.14,0.24,0.09,0.24,Matches,5c74c0f5
126,Ibrahima Diallo,fr FRA,MF,Southampton,23-335,1999,13,10,714,7.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,21,6,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03,Matches,11ff3d56
127,Rúben Dias,pt POR,DF,Manchester City,25-268,1997,13,9,874,9.7,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.8,5,43,1,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Matches,31c69ef1
